ID,n_backbone_matches,SMILES
1286,8,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1287,8,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1288,8,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1289,8,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1290,8,CC(C)C[C@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CC(=O)O)NC1=O
1291,8,C[C@@H](O)C1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC1=O
1292,7,CC[C@H](C)[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](C)N)CSCc2ccc(cc2)CSC[C@@H]2NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](CSCc3ccc(cc3)CSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC2=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O
1293,11,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC1=O
1294,7,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)CC[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1295,8,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCCNC(=O)CC(C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC1=O
1296,7,CC[C@H](C)[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](C)N)CSCc2ccc(cc2)CSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@@H]2CSCc3ccc(cc3)CSC[C@@H](NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N2
1300,8,CC(C)C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C1=O
1304,8,CC(C)C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C1=O
